2018-07-18 14:47:55,583 - EXPERIMENT ([0, 1, 0.02, 0.21, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.01],)
2018-07-18 14:47:55,587 - EXPERIMENT ([0, 2, -0.01, 0.15, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.14],)
2018-07-18 14:47:55,592 - EXPERIMENT ([0, 3, 0.54, 0.42, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.3],)
2018-07-18 14:47:55,596 - EXPERIMENT ([0, 4, -0.03, 0.19, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.01],)
2018-07-18 14:47:55,600 - EXPERIMENT ([0, 5, 0.32, 0.17, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.05],)
2018-07-18 14:47:55,605 - EXPERIMENT ([0, 6, 0.09, 0.22, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.05],)
2018-07-18 14:47:55,610 - EXPERIMENT ([0, 7, 0.24, 0.3, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.2],)
2018-07-18 14:47:55,614 - EXPERIMENT ([0, 8, 0.62, 0.48, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.05],)
2018-07-18 14:47:55,619 - EXPERIMENT ([0, 9, 0.36, 0.3, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.25],)
2018-07-18 14:47:55,623 - EXPERIMENT ([0, 10, 0.46, 0.44, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.29],)
2018-07-18 14:47:55,628 - EXPERIMENT ([0, 11, 0.53, 0.0, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.32],)
2018-07-18 14:47:55,632 - EXPERIMENT ([0, 12, 0.42, 0.28, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.06],)
2018-07-18 14:47:55,636 - EXPERIMENT ([0, 13, 0.35, 0.5, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.36],)
2018-07-18 14:47:55,640 - EXPERIMENT ([0, 14, 0.2, 0.28, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.29],)
2018-07-18 14:47:55,645 - EXPERIMENT ([0, 15, -0.02, 0.45, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.22],)
2018-07-18 14:47:55,649 - EXPERIMENT ([0, 16, 0.51, 0.06, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.2],)
2018-07-18 14:47:55,655 - EXPERIMENT ([0, 17, 0.44, 0.02, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.29],)
2018-07-18 14:47:55,659 - EXPERIMENT ([0, 18, 0.46, 0.37, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.05],)
2018-07-18 14:47:55,665 - EXPERIMENT ([0, 19, -0.13, 0.4, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.25],)
2018-07-18 14:47:55,670 - EXPERIMENT ([0, 20, 0.28, 0.26, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.33],)
2018-07-18 14:47:55,676 - EXPERIMENT ([0, 21, -0.07, 0.39, ['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.38],)
2018-07-18 14:47:55,680 - EXPERIMENT ([0, 22, 0.34, 0.08, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.24],)
